
変数情報		
変数	位置	ラベル
A7_5	0	非選択
	1	選択
A7_6	0	非選択
	1	選択
A7_7	0	非選択
	1	選択
A7_8	0	非選択
	1	選択
A7_9	0	非選択
	1	選択
A7_n	0	回答あり
	1	無回答
A8_1	1	1 Aを優先するべき
	2	2
	3	3
	4	4 同じくらい
	5	5
	6	6
	7	7 Bを優先するべき
	99	無回答
A8_2	1	1 Aを優先するべき
	2	2
	3	3
	4	4 同じくらい
	5	5
	6	6
	7	7 Bを優先するべき
	99	無回答
A8_3	1	1 Aを優先するべき
	2	2
	3	3
	4	4 同じくらい
	5	5
	6	6
	7	7 Bを優先するべき
	99	無回答
A8_4	1	1 Aを優先するべき
	2	2
	3	3
	4	4 同じくらい
	5	5
	6	6
	7	7 Bを優先するべき
	99	無回答
A8_5	1	1 Aを優先するべき
	2	2
	3	3
	4	4 同じくらい
	5	5
	6	6
	7	7 Bを優先するべき
	99	無回答
A9	1	受けたい
	2	どちらかといえば受けたい
	3	どちらかといえば受けたくない
	4	受けたくない
	99	無回答
A10_1	1	強くそう思う
	2	ある程度そう思う
	3	どちらともいえない
	4	あまりそう思わない
	5	全くそう思わない
	99	無回答
A10_2	1	強くそう思う
	2	ある程度そう思う
	3	どちらともいえない
	4	あまりそう思わない
	5	全くそう思わない
	99	無回答
B1	1	5回以上
	2	2～4回
	3	1回
	4	0回（1ヶ月以上前に購入したことがある）
	5	0回（これまでに購入したことはない）
	99	無回答
B2_1	0	非選択
	1	選択
B2_2	0	非選択
	1	選択
B2_3	0	非選択
	1	選択
B2_4	0	非選択
	1	選択
B2_5	0	非選択
	1	選択
B2_6	0	非選択
	1	選択
B2_n	0	回答あり
	1	無回答
B3_1	1	賛成
	2	どちらかといえば賛成
	3	どちらかといえば反対
	4	反対
	99	無回答
B3_2	1	賛成
	2	どちらかといえば賛成
	3	どちらかといえば反対
	4	反対
	99	無回答
B4_1	0	非選択
	1	選択
B4_2	0	非選択
	1	選択
B4_3	0	非選択
	1	選択
B4_4	0	非選択
	1	選択
B4_5	0	非選択
	1	選択
B4_6	0	非選択
	1	選択
B4_n	0	回答あり
	1	無回答
B5	1	ある：頻繁に立ち寄っている
	2	ある：たまに立ち寄っている
	3	ある：めったに立ち寄ることはない
	4	ない
	99	無回答
B6_1	1	北海道
	2	青森県
	3	岩手県
	4	宮城県
	5	秋田県
	6	山形県
	7	福島県
	8	茨城県
	9	栃木県
	10	群馬県
	11	埼玉県
	12	千葉県
	13	東京都
	14	神奈川県
	15	新潟県
	16	富山県
	17	石川県
	18	福井県
	19	山梨県
	20	長野県
	21	岐阜県
	22	静岡県
	23	愛知県
	24	三重県
	25	滋賀県
	26	京都府
	27	大阪府
	28	兵庫県
	29	奈良県
	30	和歌山県
	31	鳥取県
	32	島根県
	33	岡山県
	34	広島県
	35	山口県
	36	徳島県
	37	香川県
	38	愛媛県
	39	高知県
	40	福岡県
	41	佐賀県
	42	長崎県
	43	熊本県
	44	大分県
	45	宮崎県
	46	鹿児島県
	47	沖縄県
	48	外国
	99	無回答
B7	1	ある
	2	少しある
	3	どちらともいえない
	4	あまりない
	5	ない
	99	無回答
B8_1	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	99	無回答
B8_2	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	99	無回答
B8_3	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	99	無回答
B8_4	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	99	無回答
B8_5	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	99	無回答
B9_1	1	1つだけ（現在いる都道府県・国のみ）
	2	2－4
	3	5－9
	4	10－19
	5	20以上
	99	無回答
B9_2	1	1つだけ（現在いる都道府県・国のみ）
	2	2－4
	3	5－9
	4	10－19
	5	20以上
	99	無回答
B9_3	1	1つだけ（現在いる都道府県・国のみ）
	2	2－4
	3	5－9
	4	10－19
	5	20以上
	99	無回答
B9_4	1	1つだけ（現在いる都道府県・国のみ）
	2	2－4
	3	5－9
	4	10－19
	5	20以上
	99	無回答
B10_1	1	とても重要
	2	少し重要
	3	重要ではない
	99	無回答
B10_2	1	とても重要
	2	少し重要
	3	重要ではない
	99	無回答
B10_3	1	とても重要
	2	少し重要
	3	重要ではない
	99	無回答
B10_4	1	とても重要
	2	少し重要
	3	重要ではない
	99	無回答
B10_5	1	とても重要
	2	少し重要
	3	重要ではない
	99	無回答
B11_1	1	強く賛成する
	2	賛成する
	3	反対する
	4	強く反対する
	5	わからない
	99	無回答
B11_2	1	強く賛成する
	2	賛成する
	3	反対する
	4	強く反対する
	5	わからない
	99	無回答
C1	1	自分が回答した
	2	自分以外の家族などが回答した
	3	回答しなかった
	4	わからない
	5	国勢調査を知らない
	99	無回答
C2	1	インターネットで回答・提出
	2	質問票を郵送で提出
	3	質問票を調査員に提出
	4	その他の方法
	5	わからない
	99	無回答
C3	1	全ての質問に回答した
	2	回答しなかった質問がある
	3	まだ回答していないのでわからない
	4	覚えていない
	99	無回答
C4_1	0	非選択
	1	選択
C4_2	0	非選択
	1	選択
C4_3	0	非選択
	1	選択
C4_4	0	非選択
	1	選択
C4_5	0	非選択
	1	選択
C4_6	0	非選択
	1	選択
C4_7	0	非選択
	1	選択
C4_8	0	非選択
	1	選択
C4_9	0	非選択
	1	選択
C4_10	0	非選択
	1	選択
C4_11	0	非選択
	1	選択
C4_n	0	回答あり
	1	無回答
C5_1	0	非選択
	1	選択
C5_2	0	非選択
	1	選択
C5_3	0	非選択
	1	選択
C5_4	0	非選択
	1	選択
C5_5	0	非選択
	1	選択
C5_6	0	非選択
	1	選択
C5_7	0	非選択
	1	選択
C5_n	0	回答あり
	1	無回答
C6_1	1	危険
	2	どちらかといえば危険
	3	どちらとも言えない
	4	どちらかといえば安全
	5	安全
	99	無回答
C6_2	1	危険
	2	どちらかといえば危険
	3	どちらとも言えない
	4	どちらかといえば安全
	5	安全
	99	無回答
C6_3	1	危険
	2	どちらかといえば危険
	3	どちらとも言えない
	4	どちらかといえば安全
	5	安全
	99	無回答
C6_4	1	危険
	2	どちらかといえば危険
	3	どちらとも言えない
	4	どちらかといえば安全
	5	安全
	99	無回答
C6_5	1	危険
	2	どちらかといえば危険
	3	どちらとも言えない
	4	どちらかといえば安全
	5	安全
	99	無回答
C7	1	ある
	2	ない
	99	無回答
C8_1	0	非選択
	1	選択
C8_2	0	非選択
	1	選択
C8_3	0	非選択
	1	選択
C8_4	0	非選択
	1	選択
C8_5	0	非選択
	1	選択
C8_6	0	非選択
	1	選択
C8_7	0	非選択
	1	選択
C8_n	0	回答あり
	1	無回答
C9	1	そう思う
	2	どちらかといえばそう思う
	3	どちらともいえない
	4	どちらかといえばそう思わない
	5	そう思わない
	99	無回答
C10_1	1	そう思う
	2	どちらかといえばそう思う
	3	どちらともいえない
	4	どちらかといえばそう思わない
	5	そう思わない
	99	無回答
C10_2	1	そう思う
	2	どちらかといえばそう思う
	3	どちらともいえない
	4	どちらかといえばそう思わない
	5	そう思わない
	99	無回答
F1	1	はい（配偶者あり）
	2	いいえ（未婚）
	3	いいえ（離別・死別）
	99	無回答
F2	1	1人（ご自身のみ）
	2	2人
	3	3人
	4	4人
	5	5人
	6	6人
	7	7人
	8	8人
	9	9人
	10	10人以上
	99	無回答
F3_1	0	非選択
	1	選択
F3_2	0	非選択
	1	選択
F3_3	0	非選択
	1	選択
F3_4	0	非選択
	1	選択
F3_5	0	非選択
	1	選択
F3_6	0	非選択
	1	選択
F3_7	0	非選択
	1	選択
F3_8	0	非選択
	1	選択
F3_n	0	回答あり
	1	無回答
F4	1	一戸建ての持ち家
	2	一戸建ての借家
	3	集合住宅の持ち家
	4	集合住宅の借家
	5	その他
	99	無回答
F5	1	中学校・高校
	2	高専・短大・専門学校
	3	大学
	4	大学院
	5	わからない
	99	無回答
F6	1	収入なし
	2	100万円未満
	3	100～200万円未満
	4	200～300万円未満
	5	300～400万円未満
	6	400～500万円未満
	7	500～700万円未満
	8	700～900万円未満
	9	900～1200万円未満
	10	1200～1500万円未満
	11	1500～2000万円未満
	12	2000万円以上
	13	わからない
	99	無回答
F7	1	はい（フルタイム）
	2	はい（パートタイム）
	3	いいえ（求職中）
	4	いいえ（在学中・退職後・専業主婦／主夫など）
	99	無回答
F8	1	正規の職員・従業員
	2	派遣社員
	3	パート・アルバイト
	4	会社などの役員
	5	自営業主
	6	家族従業者
	7	その他
	99	無回答
F9	1	管理（会社役員、管理職など）
	2	専門・技術（医師、技術者、デザイナーなど）
	3	事務（事務員、受付など）
	4	販売（営業職、販売員など）
	5	サービス（美容師、調理人、介護職員など）
	6	保安（警察官、警備員など）
	7	農林漁業（農業、林業、漁業従事者など）
	8	生産・建設・輸送（組立作業従事者、運転者、清掃員など）
	9	分類不能／上記以外
	99	無回答

